AcctId,EOM,ClosingBal
19256,31/01/2019,695637.21
19256,28/02/2019,696542.47
19256,31/03/2019,695217.72
19256,30/04/2019,708516.92
19256,31/05/2019,739696.84
19256,30/06/2019,751603.79
19256,31/07/2019,761300.71
19256,31/08/2019,769733.64
19256,30/09/2019,779017.15
19256,31/10/2019,784294.08
19256,30/11/2019,801031.01
19256,31/12/2019,813669.64
19256,31/01/2020,809792.35
19256,29/02/2020,716524.09
19256,31/03/2020,727406
19256,30/04/2020,758976.93
19256,31/05/2020,767690.91
19256,30/06/2020,771070.42
19256,31/07/2020,793873.2
19256,31/08/2020,803549.85
19256,30/09/2020,811490.89
19256,31/10/2020,832079.62
19256,30/11/2020,839897.06
19256,31/12/2020,841033.33
19474,31/01/2018,1016616.83
19474,28/02/2018,1067004.8
19474,31/03/2018,1046792
19474,30/04/2018,1036098.92
19474,31/05/2018,1101639.85
19474,30/06/2018,973538.44
19474,31/07/2018,970236.91
19474,31/08/2018,971452.66
19474,30/09/2018,988273.58
19474,31/10/2018,946513.74
19474,30/11/2018,1008306.87
19474,31/12/2018,984557.05
19474,31/01/2019,1054778.38
19474,28/02/2019,1054563.08
19474,31/03/2019,1055155.61
19474,30/04/2019,1075293.77
19474,31/05/2019,1114422.93
19474,30/06/2019,1126063.52
19474,31/07/2019,1135538.71
19474,31/08/2019,1141557.29
19474,30/09/2019,1142029.8
19474,31/10/2019,1141488.2
19474,30/11/2019,1156563.69
19474,31/12/2019,1168368.68
19474,31/01/2020,1155448.62
19474,29/02/2020,1020217.54
19474,31/03/2020,1035133.9
19474,30/04/2020,1072023.8
19474,31/05/2020,1075133.92
19474,30/06/2020,1076042.95
19474,31/07/2020,1100507.75
19474,31/08/2020,1106146.82
19474,30/09/2020,1113876.59
19474,31/10/2020,1135419.38
19474,30/11/2020,1144608.39
19474,31/12/2020,1144608.39
19531,31/01/2018,779624.71
19531,28/02/2018,810336.57
19531,31/03/2018,727130.67
19531,30/04/2018,713396.05
19531,31/05/2018,824176.17
19531,30/06/2018,729344.48
19531,31/07/2018,726553.52
19531,31/08/2018,728563.61
19531,30/09/2018,766846.92
19531,31/10/2018,714500.63
19531,30/11/2018,739605.51
19531,31/12/2018,712424.96
19531,31/01/2019,773440.76
19531,28/02/2019,775338.12
19531,31/03/2019,774415.21
19531,30/04/2019,782834.87
19531,31/05/2019,833160.24
19531,30/06/2019,839357.84
19531,31/07/2019,844078.99
19531,31/08/2019,846640.05
19531,30/09/2019,842918.76
19531,31/10/2019,838636.92
19531,30/11/2019,850015.48
19531,31/12/2019,857424.54
19531,31/01/2020,843761.93
19531,29/02/2020,744609.18
19531,31/03/2020,752371.93
19531,30/04/2020,774123.41
19531,31/05/2020,773167.15
19531,30/06/2020,768684.55
19531,31/07/2020,782223.1
19531,31/08/2020,783219.09
19531,30/09/2020,786024.33
19531,31/10/2020,797455.79
19531,30/11/2020,801152.66
19531,31/12/2020,801152.66
19653,31/01/2018,203209.9
19653,28/02/2018,207433.36
19653,31/03/2018,205931.18
19653,30/04/2018,194914
19653,31/05/2018,218811.79
19653,30/06/2018,194853.58
19653,31/07/2018,194912.44
19653,31/08/2018,195379.33
19653,30/09/2018,200606.42
19653,31/10/2018,192057.82
19653,30/11/2018,198066.97
19653,31/12/2018,188772.19
19653,31/01/2019,204419.09
19653,28/02/2019,203924.71
19653,31/03/2019,202856.99
19653,30/04/2019,203848.74
19653,31/05/2019,213814.06
19653,30/06/2019,214245.57
19653,31/07/2019,214737.01
19653,31/08/2019,215769.1
19653,30/09/2019,214607.33
19653,31/10/2019,213189.37
19653,30/11/2019,217325.49
19653,31/12/2019,218181.36
19653,31/01/2020,214941.12
19653,29/02/2020,194672.7
19653,31/03/2020,195504.53
19653,30/04/2020,200161.16
19653,31/05/2020,200508.86
19653,30/06/2020,198981.31
19653,31/07/2020,202079.12
19653,31/08/2020,203592.52
19653,30/09/2020,204545.18
19653,31/10/2020,207736.25
19653,30/11/2020,224747.37
19653,31/12/2020,224747.37
19993,31/01/2018,457416.18
19993,28/02/2018,479012.68
19993,31/03/2018,464760.15
19993,30/04/2018,441061.79
19993,31/05/2018,492302.11
19993,30/06/2018,434027.96
19993,31/07/2018,431968.24
19993,31/08/2018,431841.64
19993,30/09/2018,439113.86
19993,31/10/2018,418980.83
19993,30/11/2018,445694.54
19993,31/12/2018,422205.21
19993,31/01/2019,465186.14
19993,28/02/2019,462692.34
19993,31/03/2019,462309.06
19993,30/04/2019,468263.69
19993,31/05/2019,486182.8
19993,30/06/2019,490700.33
19993,31/07/2019,496865.86
19993,31/08/2019,499772.31
19993,30/09/2019,499023.8
19993,31/10/2019,497730.47
19993,30/11/2019,505774.82
19993,31/12/2019,511712.78
19993,31/01/2020,505530.3
19993,29/02/2020,442495.42
19993,31/03/2020,446726.16
19993,30/04/2020,465387.26
19993,31/05/2020,466956.25
19993,30/06/2020,466303.08
19993,31/07/2020,479498.62
19993,31/08/2020,483644.98
19993,30/09/2020,488265.39
19993,31/10/2020,498896.09
19993,30/11/2020,503786.98
19993,31/12/2020,503786.98
20051,31/01/2018,475335.5
20051,28/02/2018,493545.84
20051,31/03/2018,568826.41
20051,30/04/2018,561296.49
20051,31/05/2018,589441.15
20051,30/06/2018,516085.22
20051,31/07/2018,525756.95
20051,31/08/2018,544972.33
20051,30/09/2018,538811.85
20051,31/10/2018,494702.95
20051,30/11/2018,517486.14
20051,31/12/2018,524521.54
20051,31/01/2019,533631.5
20051,28/02/2019,532913.32
20051,31/03/2019,521635.93
20051,30/04/2019,525804.19
20051,31/05/2019,544125.38
20051,30/06/2019,541503.14
20051,31/07/2019,540340.54
20051,31/08/2019,542262.84
20051,30/09/2019,539980.74
20051,31/10/2019,531449.53
20051,30/11/2019,536969.75
20051,31/12/2019,540509.78
20051,31/01/2020,527292.99
20051,29/02/2020,469252.25
20051,31/03/2020,460269.25
20051,30/04/2020,473391.67
20051,31/05/2020,469614.16
20051,30/06/2020,469242.7
20051,31/07/2020,477240.19
20051,31/08/2020,475279.84
20051,30/09/2020,475152.86
20051,31/10/2020,474025.54
20051,30/11/2020,466379.43
20051,31/12/2020,466379.43
20378,31/01/2018,46370.23
20378,28/02/2018,49695.34
20378,31/03/2018,48116.39
20378,30/04/2018,47636.07
20378,31/05/2018,51388.3
20378,30/06/2018,44904.74
20378,31/07/2018,44832.94
20378,31/08/2018,44194.16
20378,30/09/2018,46610.45
20378,31/10/2018,44561.25
20378,30/11/2018,45405.29
20378,31/12/2018,44811.8
20378,31/01/2019,51529.48
20378,28/02/2019,51494.84
20378,31/03/2019,51751.8
20378,30/04/2019,52428.03
20378,31/05/2019,53984.74
20378,30/06/2019,54586.72
20378,31/07/2019,55261.66
20378,31/08/2019,55711.99
20378,30/09/2019,55899.65
20378,31/10/2019,56172.47
20378,30/11/2019,57083.58
20378,31/12/2019,57861.91
20378,31/01/2020,57357.41
20378,29/02/2020,51468.71
20378,31/03/2020,52460.16
20378,30/04/2020,54267.6
20378,31/05/2020,54631.5
20378,30/06/2020,54855.18
20378,31/07/2020,56233.8
20378,31/08/2020,56698.9
20378,30/09/2020,57313.66
20378,31/10/2020,58471.21
20378,30/11/2020,59095.94
20378,31/12/2020,59095.94
20392,31/01/2018,3590724.02
20392,28/02/2018,4119376.12
20392,31/03/2018,4002730.28
20392,30/04/2018,4016046.19
20392,31/05/2018,4206352.73
20392,30/06/2018,3907692.41
20392,31/07/2018,3898843.71
20392,31/08/2018,3847491.45
20392,30/09/2018,3864308.91
20392,31/10/2018,3682403.58
20392,30/11/2018,3718384.5
20392,31/12/2018,3619797.48
20392,31/01/2019,3843164.01
20392,28/02/2019,3817346.1
20392,31/03/2019,3807865.11
20392,30/04/2019,3831770.86
20392,31/05/2019,3953902.71
20392,30/06/2019,4009863.79
20392,31/07/2019,4004956.56
20392,31/08/2019,4020395.6
20392,30/09/2019,3994928.9
20392,31/10/2019,3978044.62
20392,30/11/2019,4005526.4
20392,31/12/2019,4043842.83
20392,31/01/2020,3963445.12
20392,29/02/2020,3371887.67
20392,31/03/2020,3413301.67
20392,30/04/2020,3544953.14
20392,31/05/2020,3550782.4
20392,30/06/2020,3497816.72
20392,31/07/2020,3592234.98
20392,31/08/2020,3616750.72
20392,30/09/2020,3658319.47
20392,31/10/2020,3713969.41
20392,30/11/2020,3776753.61
20392,31/12/2020,3776753.61
20577,31/01/2018,1556315.74
20577,28/02/2018,1621280.37
20577,31/03/2018,1676362.38
20577,30/04/2018,1685687.43
20577,31/05/2018,1727819.51
20577,30/06/2018,1689505.57
20577,31/07/2018,1723625.38
20577,31/08/2018,1670771.27
20577,30/09/2018,1610298.76
20577,31/10/2018,1446340.68
20577,30/11/2018,1561164.47
20577,31/12/2018,1613508.36
20577,31/01/2019,1547694.17
20577,28/02/2019,1725365.63
20577,31/03/2019,1768930.69
20577,30/04/2019,1773573.39
20577,31/05/2019,1855326.62
20577,30/06/2019,1887290.64
20577,31/07/2019,1881246.64
20577,31/08/2019,1905525.98
20577,30/09/2019,1920669.93
20577,31/10/2019,1968765.71
20577,30/11/2019,1959383.23
20577,31/12/2019,2034463.25
20577,31/01/2020,1711236.53
20577,29/02/2020,1743603.34
20577,31/03/2020,1795541.39
20577,30/04/2020,1805199.41
20577,31/05/2020,1835722.45
20577,30/06/2020,1964332.69
20577,31/07/2020,1984592.18
20577,31/08/2020,1956164.53
20577,30/09/2020,1983353.6
20577,31/10/2020,2127838.76
20577,30/11/2020,2132594.43
20577,31/12/2020,2132594.43
21322,31/01/2018,340390.3
21322,28/02/2018,356407.26
21322,31/03/2018,345791.24
21322,30/04/2018,328403.05
21322,31/05/2018,363349.43
21322,30/06/2018,321061.32
21322,31/07/2018,319720.14
21322,31/08/2018,319917.14
21322,30/09/2018,324729.76
21322,31/10/2018,309686.86
21322,30/11/2018,324263.46
21322,31/12/2018,318144.56
21322,31/01/2019,338169.07
21322,28/02/2019,337286.22
21322,31/03/2019,335924.72
21322,30/04/2019,339796.05
21322,31/05/2019,351573.93
21322,30/06/2019,353674.64
21322,31/07/2019,355736.23
21322,31/08/2019,356917.48
21322,30/09/2019,355559.6
21322,31/10/2019,353932.04
21322,30/11/2019,357544.92
21322,31/12/2019,359812.89
21322,31/01/2020,354303.15
21322,29/02/2020,319096
21322,31/03/2020,322638.2
21322,30/04/2020,330254.05
21322,31/05/2020,330360.68
21322,30/06/2020,328816.13
21322,31/07/2020,333550.19
21322,31/08/2020,332328.51
21322,30/09/2020,332644.9
21322,31/10/2020,335807.22
21322,30/11/2020,336609.63
21322,31/12/2020,336609.63
21741,31/01/2018,815837.76
21741,28/02/2018,781093.92
21741,31/03/2018,783283.16
